,Spanish,German,Japanese,Korean
_AudioLinkDecal0EmissionBand,Banda de la emisión,Emissionsband,発光バンド,방출 밴드
_AudioLinkDecal0Emission,Modificador de la emisión,Emissionsmod,発光モッド,방출 모드
_AudioLinkDecalCC0,Banda de acordes de color,CC-Streifen,CCストリップ,CC 스트립
_DecalRotationCTALBand0,Banda de rotación de cronotensidad,Chronorotationsband,クロノローテーションバンド,크로노 회전 밴드
_DecalRotationCTALType0,Tipo de movimiento de cronotensidad,Chrono-Bewegungstyp,クロノモーションタイプ,크로노 모션 타입
_DecalRotationCTALSpeed0,Velocidad de rotación de cronotensidad,Chrono Rotationsgeschwindigkeit,クロノ回転速度,크로노 회전 속도
_AudioLinkDecal0ChannelSeparationBand,Banda de separación de canales,Kanaltrennungsband,バンドチャンネル分離帯域,채널 분리 밴드
_AudioLinkDecal0ChannelSeparation,Separación de canales,Kanaltrennung,チャンネル分離,채널 분리
m_end_Decal0AudioLink,AudioLink,Audiolink,AudioLink,오디오링크
m_end_Decal0,Calcomanía 0,Aufkleber 0,デカール 0,데칼 0
m_start_Decal1,Calcomanía 1,Aufkleber 1,デカール1,데칼 1
_DecalEnabled1,Activar calcomanía,Aktivieren,有効,활성화
_Decal1MaskChannel,Canal de máscara,Maskenkanal,マスクチャンネル,마스크 채널
_Decal1GlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_Decal1GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalColor1,Color,Farbe,色,색상
_DecalEmissionStrength1,Intensidad de la emisión,Emissionsstärke,発光の強さ,방출 강도
_DecalTexture1,Textura,Abziehbild,デカール,데칼
_DecalTexture1Pan,Barrido,Schwenken,パンニング,패닝
_DecalTexture1UV,UV,UV,UV,UV
_DecalTiled1,Calcomanía en mosaico,Gefliest,タイル表示,타일링
_Decal1Depth,Profundidad,Tiefe,深さ,깊이
_DecalScale1,Escala,Skala,規模,스케일
_DecalSideOffset1,Desplazamiento lateral,Seitenversatz,サイドオフセット,측면 오프셋
_DecalPosition1,Posición,Position,位置,위치
_DecalRotation1,Rotación,Drehung,回転,회전
_DecalRotationSpeed1,Velocidad de rotación,Drehgeschwindigkeit,回転速度,회전 속도
_DecalBlendType1,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalBlendAlpha1,Alfa,Alpha,アルファ,알파
_DecalOverrideAlpha1,Anular alfa,Alpha überschreiben,アルファを無視する,알파 덮어쓰기
_Decal1ApplyGlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_Decal1ApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalHueShiftEnabled1,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_DecalHueShiftSpeed1,Velocidad del cambio,Schaltgeschwindigkeit,シフトスピード,시프트 속도
_DecalHueShift1,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_Decal1HueAngleStrength,Intensidad de tono por ángulo,Farbwinkelleistung,角のぼかしの強さ,색조 각도 강도
_Decal1ChannelSeparationEnable,<size=13><b>Separación de canales </b></size>,<size=13><b>Kanaltrennung</b></size>,<size=13><b>チャンネル分離</b></size>,<size=13><b>채널 분리</b></size>
_Decal1ChannelSeparation,Separación,Intensität,強さ,강도
_Decal1ChannelSeparationAngleStrength,Intensidad de la separación por ángulo,Intensität des Oberflächenwinkels,表面角度の強さ,표면 각도 강도
_Decal1ChannelSeparationHue,Tono,Farbton,ぼかし,색조
_Decal1ChannelSeparationVertical,Dirección,Richtung,方向,방향
_Decal1ChannelSeparationPremultiply,Alfa premultiplicativo,Alpha vormultiplizieren,事前乗算アルファ,알파 미리 곱하기
m_start_Decal1AudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_AudioLinkDecal1ScaleBand,Banda de escala,Skalenband,スケールバンド,스케일 밴드
_AudioLinkDecal1Scale,Modificador de escala,Skalen-Mod,スケールモッド,스케일 모드
_AudioLinkDecal1SideBand,Banda lateral,Seitenband,サイドバンド,측면 밴드
_AudioLinkDecal1SideMin,Lateral mínimo,Seite zu min,横から最小,측면 최소
_AudioLinkDecal1SideMax,Lateral máximo,Seitenmod max,サイド モッド 最大,측면 모드 최대
_AudioLinkDecal1RotationBand,Banda de rotación,Rotationsband,回転バンド,회전 밴드
_AudioLinkDecal1Rotation,Modificador de rotación,Rotationsmod,ローテーション・モッド,회전 모드
_AudioLinkDecal1AlphaBand,Banda alfa,Alphaband,アルファバンド,알파 밴드
_AudioLinkDecal1Alpha,Modificador alfa,Alpha-Mod,アルファモッド,알파 모드
_AudioLinkDecal1EmissionBand,Banda de la emisión,Emissionsband,発光バンド,방출 밴드
_AudioLinkDecal1Emission,Modificador de la emisión,Emissionsmod,発光モッド,방출 모드
_AudioLinkDecalCC1,Banda de acordes de color,CC-Streifen,CCストリップ,CC 스트립
_DecalRotationCTALBand1,Banda de rotación de cronotensidad,Chronorotationsband,クロノローテーションバンド,크로노 회전 밴드
_DecalRotationCTALType1,Tipo de movimiento de cronotensidad,Chrono-Bewegungstyp,クロノモーションタイプ,크로노 모션 타입
_DecalRotationCTALSpeed1,Velocidad de rotación de cronotensidad,Chrono Rotationsgeschwindigkeit,クロノ回転速度,크로노 회전 속도
_AudioLinkDecal1ChannelSeparationBand,Banda de separación de canales,Kanaltrennungsband,バンドチャンネル分離帯域,채널 분리 밴드
_AudioLinkDecal1ChannelSeparation,Separación de canales,Kanaltrennung,チャンネル分離,채널 분리
m_end_Decal1AudioLink,AudioLink,Audiolink,AudioLink,오디오링크
m_end_Decal1,Calcomanía 1,Aufkleber 0,デカール 0,데칼 0
m_start_Decal2,Calcomanía 2,Aufkleber 2,デカール2,데칼 2
_DecalEnabled2,Activar calcomanía,Aktivieren,有効,활성화
_Decal2MaskChannel,Canal de máscara,Maskenkanal,マスクチャンネル,마스크 채널
_Decal2GlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_Decal2GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalColor2,Color,Farbe,色,색상
_DecalEmissionStrength2,Intensidad de la emisión,Emissionsstärke,発光の強さ,방출 강도
_DecalTexture2,Textura,Abziehbild,デカール,데칼
_DecalTexture2Pan,Barrido,Schwenken,パンニング,패닝
_DecalTexture2UV,UV,UV,UV,UV
_DecalTiled2,Calcomanía en mosaico,Gefliest,タイル表示,타일링
_Decal2Depth,Profundidad,Tiefe,深さ,깊이
_DecalScale2,Escala,Skala,規模,스케일
_DecalSideOffset2,Desplazamiento lateral,Seitenversatz,サイドオフセット,측면 오프셋
_DecalPosition2,Posición,Position,位置,위치
_DecalRotation2,Rotación,Drehung,回転,회전
_DecalRotationSpeed2,Velocidad de rotación,Drehgeschwindigkeit,回転速度,회전 속도
_DecalBlendType2,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalBlendAlpha2,Alfa,Alpha,アルファ,알파
_DecalOverrideAlpha2,Anular alfa,Alpha überschreiben,アルファを無視する,알파 덮어쓰기
_Decal2ApplyGlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_Decal2ApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalHueShiftEnabled2,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_DecalHueShiftSpeed2,Velocidad del cambio,Schaltgeschwindigkeit,シフトスピード,시프트 속도
_DecalHueShift2,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_Decal2HueAngleStrength,Intensidad del tono por ángulo,Farbwinkelleistung,角のぼかしの強さ,색조 각도 강도
_Decal2ChannelSeparationEnable,<size=13><b>Separación de canales </b></size>,<size=13><b>Kanaltrennung</b></size>,<size=13><b>チャンネル分離</b></size>,<size=13><b>채널 분리</b></size>
_Decal2ChannelSeparation,Separación,Intensität,強さ,강도
_Decal2ChannelSeparationAngleStrength,Intensidad de la separación por ángulo,Intensität des Oberflächenwinkels,表面角度の強さ,표면 각도 강도
_Decal2ChannelSeparationHue,Tono,Farbton,ぼかし,색조
_Decal2ChannelSeparationVertical,Dirección,Richtung,方向,방향
_Decal2ChannelSeparationPremultiply,Alfa premultiplicativo,Alpha vormultiplizieren,事前乗算アルファ,알파 미리 곱하기
m_start_Decal2AudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_AudioLinkDecal2ScaleBand,Banda de escala,Skalenband,スケールバンド,스케일 밴드
_AudioLinkDecal2Scale,Modificador de escala,Skalen-Mod,スケールモッド,스케일 모드
_AudioLinkDecal2SideBand,Banda lateral,Seitenband,サイドバンド,측면 밴드
_AudioLinkDecal2SideMin,Lateral mínimo,Seite zu min,横から最小,측면 최소
_AudioLinkDecal2SideMax,Lateral máximo,Seitenmod max,サイド モッド 最大,측면 모드 최대
_AudioLinkDecal2RotationBand,Banda de rotación,Rotationsband,回転バンド,회전 밴드
_AudioLinkDecal2Rotation,Modificador de rotación,Rotationsmod,ローテーション・モッド,회전 모드
_AudioLinkDecal2AlphaBand,Banda alfa,Alphaband,アルファバンド,알파 밴드
_AudioLinkDecal2Alpha,Modificador alfa,Alpha-Mod,アルファモッド,알파 모드
_AudioLinkDecal2EmissionBand,Banda de la emisión,Emissionsband,発光バンド,방출 밴드
_AudioLinkDecal2Emission,Modificador de la emisión,Emissionsmod,発光モッド,방출 모드
_AudioLinkDecalCC2,Banda de acordes de color,CC-Streifen,CCストリップ,CC 스트립
_DecalRotationCTALBand2,Banda de rotación de cronotensidad,Chronorotationsband,クロノローテーションバンド,크로노 회전 밴드
_DecalRotationCTALType2,Tipo de movimiento de cronotensidad,Chrono-Bewegungstyp,クロノモーションタイプ,크로노 모션 타입
_DecalRotationCTALSpeed2,Velocidad de rotación de cronotensidad,Chrono Rotationsgeschwindigkeit,クロノ回転速度,크로노 회전 속도
_AudioLinkDecal2ChannelSeparationBand,Banda de separación de canales,Kanaltrennungsband,チャンネル分離帯域,채널 분리 밴드
_AudioLinkDecal2ChannelSeparation,Separación de canales,Kanaltrennung,チャンネル分離,채널 분리
m_end_Decal2AudioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_end_Decal2,Calcomanía 2,Aufkleber 0,デカール 0,데칼 0
m_start_Decal3,Calcomanía 3,Aufkleber 3,デカール3,데칼 3
_DecalEnabled3,Activar calcomanía,Aktivieren,有効,활성화
_Decal3MaskChannel,Canal de máscara,Maskenkanal,マスクチャンネル,마스크 채널
_Decal3GlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_Decal3GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalColor3,Color,Farbe,色,색상
_DecalEmissionStrength3,Intensidad de la emisión,Emissionsstärke,発光の強さ,방출 강도
_DecalTexture3,Textura,Abziehbild,デカール,데칼
_DecalTexture3Pan,Barrido,Schwenken,パンニング,패닝
_DecalTexture3UV,UV,UV,UV,UV
_DecalTiled3,Calcomanía en mosaico,Gefliest,タイル表示,타일링
_Decal3Depth,Profundidad,Tiefe,深さ,깊이
_DecalScale3,Escala,Skala,規模,스케일
_DecalSideOffset3,Desplazamiento lateral,Seitenversatz,サイドオフセット,측면 오프셋
_DecalPosition3,Posición,Position,位置,위치
_DecalRotation3,Rotación,Drehung,回転,회전
_DecalRotationSpeed3,Velocidad de rotación,Drehgeschwindigkeit,回転速度,회전 속도
_DecalBlendType3,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalBlendAlpha3,Alfa,Alpha,アルファ,알파
_DecalOverrideAlpha3,Anular alfa,Alpha überschreiben,アルファを無視する,알파 덮어쓰기
_Decal3ApplyGlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_Decal3ApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalHueShiftEnabled3,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_DecalHueShiftSpeed3,Velocidad del cambio,Schaltgeschwindigkeit,シフトスピード,시프트 속도
_DecalHueShift3,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_Decal3HueAngleStrength,Intensidad de tono por ángulo,Farbwinkelleistung,角のぼかしの強さ,색조 각도 강도
_Decal3ChannelSeparationEnable,<size=13><b>Separación de canales </b></size>,<size=13><b>Kanaltrennung</b></size>,<size=13><b>チャンネル分離</b></size>,<size=13><b>채널 분리</b></size>
_Decal3ChannelSeparationMode,Modo de dirección,Richtungsmodus,方向モード,방향 모드
_Decal3ChannelSeparation,Intensidad,Intensität,強さ,강도
_Decal3ChannelSeparationAngleStrength,Intensidad de la separación por ángulo,Intensität des Oberflächenwinkels,表面角度の強さ,표면 각도 강도
_Decal3ChannelSeparationHue,Tono,Farbton,ぼかし,색조
_Decal3ChannelSeparationVertical,Dirección,Richtung,方向,방향
_Decal3ChannelSeparationPremultiply,Alfa premultiplicativo,Alpha vormultiplizieren,事前乗算アルファ,알파 미리 곱하기
m_start_Decal3AudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_AudioLinkDecal3ScaleBand,Banda de escala,Skalenband,スケールバンド,스케일 밴드
_AudioLinkDecal3Scale,Modificador de escala,Skalen-Mod,スケールモッド,스케일 모드
_AudioLinkDecal3SideBand,Banda lateral,Seitenband,サイドバンド,측면 밴드
_AudioLinkDecal3SideMin,Lateral mínimo,Seite zu min,横から最小,측면 최소
_AudioLinkDecal3SideMax,Lateral máximo,Seitenmod max,サイド モッド 最大,측면 모드 최대
_AudioLinkDecal3RotationBand,Banda de rotación,Rotationsband,回転バンド,회전 밴드
_AudioLinkDecal3Rotation,Modificador de rotación,Rotationsmod,ローテーション・モッド,회전 모드
_AudioLinkDecal3AlphaBand,Banda alfa,Alphaband,アルファバンド,알파 밴드
_AudioLinkDecal3Alpha,Modificador alfa,Alpha-Mod,アルファモッド,알파 모드
_AudioLinkDecal3EmissionBand,Banda de la emisión,Emissionsband,発光バンド,방출 밴드
_AudioLinkDecal3Emission,Modificador de la emisión,Emissionsmod,発光モッド,방출 모드
_AudioLinkDecalCC3,Banda de acordes de color,CC-Streifen,CCストリップ,CC 스트립
_DecalRotationCTALBand3,Banda de rotación de cronotensidad,Chronorotationsband,クロノローテーションバンド,크로노 회전 밴드
_DecalRotationCTALType3,Tipo de movimiento de cronotensidad,Chrono-Bewegungstyp,クロノモーションタイプ,크로노 모션 타입
_DecalRotationCTALSpeed3,Velocidad de rotación de cronotensidad,Chrono Rotationsgeschwindigkeit,クロノ回転速度,크로노 회전 속도
_AudioLinkDecal3ChannelSeparationBand,Banda de separación de canales,Kanaltrennungsband,チャンネル分離帯域,채널 분리 밴드
_AudioLinkDecal3ChannelSeparation,Separación de canales,Kanaltrennung,チャンネル分離,채널 분리
m_end_Decal3AudioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_end_Decal3,Calcomanía 3,Aufkleber 0,デカール 0,데칼 0
m_end_DecalSection,Calcomanías,Abziehbild,デカール,데칼
m_start_tps_penetrator,Penetrador (TPS),Eindringling,ペネトレーター,페네트레이터
m_start_pen_autoConfig,Configuración de la herramienta,Konfiguriert durch Werkzeug,ツールで構成,
_TPS_PenetratorLength,Longitud del modelo,Länge des Penetrator-Modells,ペネトレーターモデルの長さ,페네트레이터 모델 길이
_TPS_PenetratorScale,Escala del modelo,Maßstab des Penetrator-Modells,ペネトレーターモデルのスケール,페네트레이터 모델 스케일
_TPS_PenetratorRight,Vector derecho,Rechter Vektor,右ベクトル,오른쪽 벡터
_TPS_PenetratorUp,Vector arriba,Vektor nach oben,アップ ベクトル,위쪽 벡터
_TPS_PenetratorForward,Vector frontal,Vorwärts-Vektor,前方ベクトル,앞쪽 벡터
_TPS_IsSkinnedMeshRenderer,Usar malla deformable (Skinned Mesh),Gebackene Scheitelfarben,ベイクされた頂点カラー,베이크된 버텍스 색상
_TPS_BakedMesh,Malla pre-calculada (Baked),Gebackenes Netz / Maske,ベイクド メッシュ / マスク,베이크된 메쉬 / 마스크
m_end_pen_autoConfig,Configuración de la herramienta,TPS,TPS,TPS
_TPSHelpbox,El penetrador permite que su malla se doble en la dirección de un orificio. Es completamente compatible con DPS. Requiere que el asistente de configuración de TPS se ejecute después. Haga clic aquí para abrir la ventana de configuración.,Penetrator ermöglicht es Ihrem Netz,sich in Richtung einer Öffnung zu biegen. Es ist voll kompatibel mit DPS. Erfordert die anschließende Ausführung des TPS-Setup-Wizards. Klicken Sie hier,
_TPSPenetratorEnabled,Activar penetrador,Ermöglicht,有効,활성화됨
_TPS_AnimatedToggle,Parámetro animable,Animierbarer Schalter,アニメート可能なトグル,애니메이션 가능한 토글
_TPSBezierHeader,Curva Bezier,Bezier,ベジエ (曲がり具合),베지어
_TPS_BezierStart,Inicio de la curva,Bezier-Start,ベジェ開始,베지어 시작
